"Date","Room","Leafarea","Leafarea_SE","Leafmass","Leafmass_SE","Stemmass","Stemmass_SE","Rootmass","Rootmass_SE"
2016-01-08,1,24.2548643509872,1.51858582221405,0.179743569312103,0.00996908409363483,0.0260478167376786,0.00212327697773164,0.0949959372592478,0.00414829089417718
2016-01-18,1,34.6973705561024,2.35470789094507,0.235896940987269,0.0136965902800175,0.0426640622613911,0.00378230352456936,0.126072649575449,0.00631273056215224
2016-01-28,1,66.0921112062662,4.00356367760436,0.372375627235626,0.0191657020351426,0.103072174218746,0.00827682378568276,0.224510061251676,0.0103001495351289
2016-02-08,1,154.815312499692,8.36520120134819,0.69513044200908,0.0341397512815454,0.327917644628824,0.0227246076670175,0.464474594438563,0.017098176453029
2016-02-29,1,678.923374350788,36.6136652734448,2.5258645801121,0.12868440157956,2.27909961114005,0.150929913265113,1.25046376509831,0.0532085224258774
2016-01-08,2,26.1409139566963,0.996573903093836,0.106227684227187,0.00390481430891328,0.0231969382691404,0.00123283854851467,0.0706131132484518,0.00227622814634079
2016-01-18,2,41.1034947081491,2.04667326189122,0.165902849245622,0.00823445116848006,0.043339119336728,0.00287148539666673,0.103517882653283,0.00446256273053547
2016-01-28,2,103.127566815156,5.15906956047241,0.414654036259318,0.0202007468486787,0.148802477053736,0.0104781231333031,0.228575229295629,0.00960412607629615
2016-02-08,2,368.148228987619,15.5568852381777,1.46885973378615,0.05870880934303,0.814786761211716,0.0505969096388664,0.683272583189657,0.0237463764117671
2016-02-29,2,1323.00380087354,46.4963140234952,4.94372047106434,0.168231363135619,5.19863649709369,0.257520798752363,1.95343708143875,0.0576375691871663
2016-01-08,3,37.5344941988598,1.49232758887054,0.127078326477638,0.00536190256374161,0.0174820837184549,0.00118770830892187,0.0768723827762698,0.00292189471638248
2016-01-18,3,71.4611137393643,3.57043950031892,0.25845334796781,0.014103386547079,0.0502071986493312,0.00434707026939484,0.138852839620972,0.00645348376123073
2016-01-28,3,184.664037920117,8.45995889744138,0.7146706454996,0.0349671133765302,0.245999544215203,0.0185300363401984,0.339621723132822,0.014759047500462
2016-02-08,3,565.363557212944,23.2484914469943,2.41553060283907,0.106527508972709,1.51735088201015,0.103456690191257,0.960123523193716,0.0372758610535876
2016-02-29,3,1480.09288531533,45.3838697015438,6.76907682811379,0.23613324514024,7.42403880012712,0.364700288755759,2.37946351634426,0.0658118035930727
2016-01-08,4,34.6243591504709,1.60634685824044,0.125897481831026,0.00616160936511071,0.0130013595387658,0.00105981022833258,0.0416679301005615,0.00210359501974363
2016-01-18,4,73.0749530820231,4.19843923013793,0.276569098649727,0.0167443097307239,0.0474569798682766,0.00469699896854743,0.0924537744140648,0.00579429937675778
2016-01-28,4,216.929169320161,12.1050863323016,0.864125613996596,0.0509694289767192,0.287892814333152,0.0295896772207365,0.270904585223477,0.0167795572178425
2016-02-08,4,686.927507483919,24.4983708722562,2.90184198773371,0.10873141703154,1.95716519436475,0.117796680103595,0.937336626554275,0.0368218375292757
2016-02-29,4,1754.49019050222,57.9926621282806,7.78345841203735,0.269464155522424,9.52576496191999,0.525220211416573,2.58693432901003,0.0917661282727185
2016-01-08,5,21.5827005090086,0.967583567152903,0.121511048636676,0.00494576701432243,0.0164677497998487,0.0010926426605934,0.0256766753154521,0.00116049353188181
2016-01-18,5,70.892954206288,3.38617841991515,0.368080230990542,0.0169476891915321,0.0993271799821732,0.00721212538771485,0.0876722507406691,0.00441605785394411
2016-01-28,5,224.397925578758,10.8755545659804,1.01985903638768,0.0487533259858183,0.530248554538028,0.0378405207474577,0.274892494903281,0.0141935250551121
2016-02-08,5,576.01869954403,22.4446847039104,2.53963708149631,0.0970406918717988,2.23253038662298,0.129916530493102,0.746681377879517,0.0308802368923704
2016-02-29,5,1576.17438155279,73.4940961081759,7.03463153054085,0.289930135833421,11.0136514132516,0.712385707013531,2.25655721960755,0.102929650595697
2016-01-08,6,21.6772803351941,1.05087192986994,0.0832603815787139,0.00447262458416021,0.0160066168305987,0.00135176633244808,0.0268404365765567,0.00126606517191857
2016-01-18,6,72.1106550823492,3.58798576898869,0.294190310528224,0.0150933180973548,0.11467005936033,0.00899393493819309,0.0888291975802368,0.00457156597834142
2016-01-28,6,194.054842652295,9.36863368568237,0.797701571849403,0.0405719159571044,0.555537804740839,0.0423653990336338,0.24822077103721,0.0121039673947896
2016-02-08,6,384.863210755183,15.6927136960712,1.67847391042276,0.0742963806680748,1.72321912271393,0.1125071910516,0.479424922686377,0.0196124950203069
2016-02-29,6,853.368465658165,43.3682756894022,4.06711297328079,0.234025493815187,6.66111194560295,0.548735760134728,1.01079088214407,0.0490930979621387
